State,State_Abbreviation,Month,Violent_Crime_Rate_per_100k
New Mexico,NM,09-2024,70.01
New Mexico,NM,09-2025,59.17
New Mexico,NM,10-2022,66.56
New Mexico,NM,10-2023,68.9
New Mexico,NM,10-2024,59.52
New Mexico,NM,10-2025,51.83
New Mexico,NM,11-2022,60.66
New Mexico,NM,11-2023,59.95
New Mexico,NM,11-2024,52.09
New Mexico,NM,11-2025,32.67
New Mexico,NM,12-2022,62.63
New Mexico,NM,12-2023,61.02
New Mexico,NM,12-2024,55.0
New Mexico,NM,12-2025,2.34
New York,NY,01-2022,30.76
New York,NY,01-2023,31.67
New York,NY,01-2024,31.32
New York,NY,01-2025,33.04
New York,NY,02-2022,30.76
New York,NY,02-2023,28.47
New York,NY,02-2024,30.17
New York,NY,02-2025,30.37
New York,NY,03-2022,34.16
New York,NY,03-2023,30.16
New York,NY,03-2024,32.81
New York,NY,03-2025,38.48
New York,NY,04-2022,34.05
New York,NY,04-2023,31.75
New York,NY,04-2024,33.31
New York,NY,04-2025,40.53
New York,NY,05-2022,39.43
New York,NY,05-2023,35.1
New York,NY,05-2024,37.45
